                  郑州煤电 (600121)
      时间	    开盘	    最高	    最低	    收盘	         成交量	高一高二多空.线1   	高一高二多空.线2   	高一高二多空.线1红 	高一高二多空.线2红 	高一高二多空.波峰  	高一高二多空.      	高一高二多空.波谷  	高一高二多空.      	高一高二多空.      	高一高二多空.      	高一高二多空.      	高一高二多空.      	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	主力进出.主力  	主力进出.游资  	主力进出.大户  	主力进出.散户  	主力进出.主比  	主力进出.游比  	主力进出.大比  	主力进出.散比  	主力进出.警戒线	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	主力进出.      	
 2024/07/18	    3.10	    3.11	    3.06	    3.11	        5209200	       3.16	       3.20	           	           	       3.19	       1.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      52092	      68836	      78922	   69553.95	   80446.98	   77358.39	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/19	    3.10	    3.11	    3.07	    3.10	        3543280	       3.15	       3.19	           	           	       3.19	       1.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      35433	      62730	      76632	   59830.71	   73430.23	   75130.88	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/22	    3.09	    3.11	    3.03	    3.07	        6246320	       3.14	       3.18	           	           	       3.19	       1.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      62463	      60357	      74147	   52311.39	   67584.88	   75247.03	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/23	    3.07	    3.10	    3.04	    3.04	        5729558	       3.13	       3.17	           	           	       3.19	       1.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      57296	      53308	      70720	   51820.89	   62421.50	   73546.98	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/24	    3.03	    3.06	    3.00	    3.02	        6263920	       3.11	       3.16	           	           	       3.19	       1.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      62639	      53985	      66061	   54457.70	   62005.82	   72060.07	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/25	    3.02	    3.05	    2.99	    3.02	        4893172	       3.10	       3.14	           	           	           	       0.00	           	       0.00	       0.00	       0.00	       0.00	       0.00	          0	      48932	      53353	      61094	   57832.43	   58831.57	   71332.24	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/26	    3.02	    3.06	    3.02	    3.05	        3515260	       3.10	       3.14	           	           	           	       0.00	       2.99	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      35153	      53296	      58013	   51004.77	   51658.09	   68196.01	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/29	    3.05	    3.06	    3.02	    3.05	        3957900	       3.09	       3.13	           	           	           	       0.00	       2.99	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      39579	      48720	      54538	   46575.63	   49198.26	   67023.99	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/30	    3.04	    3.07	    3.02	    3.06	        5299419	       3.09	       3.12	           	           	           	       0.00	       2.99	       1.00	       0.00	       0.00	       0.00	       0.00	          0	      52994	      47859	      50584	   44164.38	   49311.04	   64879.02	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
 2024/07/31	    3.05	    3.14	    3.05	    3.13	       10921521	       3.09	       3.12	       3.09	       3.12	           	       0.00	       2.99	       1.00	       0.00	       0.00	       0.00	       0.00	          0	     109215	      57175	      55580	   59235.25	   58533.84	   65982.04	           	           	           	           	           	           	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       1.00	       0.00	       0.00	       0.00	       0.00	       0.00	       0.00	
