code,name,bs_code,concepts
600064,南京高科,sh.600064,破净股;参股新三板;低市盈率;生物医药;OLED;券商相关;长期破净;证金汇金;创投;园区开发;污水处理;基金重仓;中盘;开发区;江苏国资;长三角一体化
600066,宇通客车,sh.600066,高派息;整车;宁德时代概念;电动物流车;燃料电池;新能源车;汽车制造;电子后视镜;世界杯;氢能源;出海概念;DeepSeek概念;MSCI中国;陆股通活跃;基金重仓;无人驾驶;大盘;无线充电
600067,冠城新材,sh.600067,破净股;低价;新能源车;氢能源;储能;锂电池;并购重组;磷酸铁锂;比亚迪概念;房地产;电解液
600071,凤凰光学,sh.600071,物联网;航天军工;全息概念;新能源车;机器视觉;央企改革;科学仪器;光学;激光雷达;锂电池;安防;中国电科集团;汽车电子;预盈预增;数字经济;华为概念
600072,中船科技,sh.600072,工程机械;船舶制造;海上风电;航天军工;海工装备;中字头;风能;中特估;航母产业;央企改革;一带一路;军民融合;中盘
600073,光明肉业,sh.600073,国资改革;食品行业;低价;上海国资;猪肉概念;分拆概念;基金重仓;预制菜
600075,新疆天业,sh.600075,国资改革;新疆振兴;化工行业;低价;增持回购;生态农业;水利建设;储能;可降解;一带一路;煤化工;水泥;新疆建设兵团;中盘
600076,康欣新材,sh.600076,国资改革;低价;新材料;电子信息;无锡国资;土地流转;增持回购;工业4.0;半导体设备;生态林业;碳中和;江苏国资
600078,澄星股份,sh.600078,化工行业;光刻胶;增持回购;固态电池;磷化工
600080,金花股份,sh.600080,增持回购;生物医药;生物制药;中药;医疗器械;创新药;抗流感
600081,东风科技,sh.600081,国资改革;长安汽车概念;小鹏汽车概念;胎压监测;汽车零部件;新能源车;EDR概念;央企改革;汽车制造;氢能源;华为汽车;汽车热管理;传感器;减速器;驱动电机;比亚迪概念;汽车电子;无人驾驶;华为概念;AEB概念
600082,海泰发展,sh.600082,国资改革;低价;创投;天津国资;园区开发;并购重组;金融科技;房地产
600084,中信尼雅,sh.600084,新疆振兴;葡萄酒;乡村振兴
600085,同仁堂,sh.600085,北京国资;证金汇金;生物制药;DeepSeek概念;中药;MSCI中国;价值品牌;医药电商;基金重仓;中盘
600088,中视传媒,sh.600088,国资改革;广电系;中字头;超高清;虚拟数字人;影视动漫;旅游酒店;影视传媒;在线旅游;乡村振兴;传媒娱乐
600089,特变电工,sh.600089,能源互联;逆变器;新疆振兴;电力物联网;太阳能（光伏）;充电桩;光伏玻璃;虚拟电厂;年度强势;智能电网;超超临界发电;海上风电;西部开发;直流输电;海工装备;工业互联网;工业4.0;发电设备;风能;碳纤维;新能源车;电网设备;储能;雄安新区;MSCI中国;多晶硅;一带一路;变压器;特高压;煤化工;核电;黄金股;大盘;动力煤
600094,大名城,sh.600094,大数据;算力概念;低价;商业航天（航天航空）;低空经济;无人机;卫星互联网;房地产;陆股通活跃;东数西算;中盘
600095,湘财股份,sh.600095,参股基金;创投;黑龙江自贸区;并购重组;金融科技;预盈预增;房地产;基金重仓;中盘
600096,云天化,sh.600096,国资改革;新材料;氟化工;低市盈率;农药化肥;工业大麻;甲醇概念;锂电池;碳中和;MSCI中国;磷酸铁锂;煤化工;化肥;大盘;乡村振兴;磷化工;大豆
600097,开创国际,sh.600097,国资改革;上海国资;农林牧渔;海洋经济
600098,广州发展,sh.600098,国资改革;广东国资;小鹏汽车概念;太阳能（光伏）;充电桩;光伏玻璃;电力行业;破净股;海上风电;低市盈率;抽水蓄能;风能;页岩气;储能;天然气;中盘;粤港澳;可燃冰
600099,林海股份,sh.600099,摩托车;央企改革;农机;国机集团;QFII持股;无人驾驶;乡村振兴
600100,同方股份,sh.600100,操作系统;物联网;大数据;血液制品;算力概念;智能家居;智慧政务;电子信息;参股新三板;在线教育;核聚变;节能环保;英伟达概念;海绵城市;央企改革;军工信息化;AI语料库;信息安全;DeepSeek概念;ChatGPT概念;智慧城市;创投;AI应用（智能体）;云计算;雄安新区;安防;电子车牌;移动支付;污水处理;网络安全;央企金控;一体机概念;数字经济;LED;核电;华为昇腾;华为鲲鹏;东数西算;基金重仓;华为概念;中盘;数据要素;核污染防治;信创概念;机器人概念
600101,明星电力,sh.600101,电力物联网;充电桩;电力行业;智能电网;绿色电力;小金属;央企改革;钒电池;储能;天然气;水电概念
600103,青山纸业,sh.600103,国资改革;福建国资;低价;参股新三板;土地流转;造纸行业;人造肉概念;生态林业;CPO概念;碳中和;5G;中药;光通信;一带一路
600104,上汽集团,sh.600104,国资改革;整车;宁德时代概念;车联网（车路云）;破净股;电动物流车;换电概念;网约车概念;电池回收;上海国资;燃料电池;固态电池;新能源车;足球概念;长期破净;汽车制造;证金汇金;氢能源;华为汽车;DeepSeek概念;汽车金融;IGBT概念;共享汽车;MSCI中国;分拆概念;阿里概念;一带一路;预盈预增;价值品牌;智能汽车;无人驾驶;华为概念;大盘;共享经济;长三角一体化
600105,永鼎股份,sh.600105,小鹏汽车概念;大数据;年度强势;海上风电;电子信息;光纤光缆;核聚变;汽车零部件;装配建筑;新能源车;华为汽车;CPO概念;磁悬浮;5G;超导概念;网络安全;光通信;QFII持股;比亚迪概念;芯片概念;一带一路;预盈预增;蔚来汽车概念;华为概念;中盘;长三角一体化
600106,重庆路桥,sh.600106,低价;成渝城市群;智慧城市;创投;ETC概念;第三代半导体;公路桥梁
600108,亚盛集团,sh.600108,国资改革;低价;土地流转;甘肃国资;代糖概念;跨境电商;券商相关;稀缺资源;啤酒;转基因;昨日涨停;龙虎榜热门;种业;农林牧渔;昨日连板;中盘;乡村振兴
600109,国金证券,sh.600109,腾讯概念;破净股;参股基金;金融行业;期货概念;MSCI中国;金融科技;基金重仓;中盘;蚂蚁金服概念
600110,诺德股份,sh.600110,宁德时代概念;太阳能（光伏）;光伏玻璃;电力行业;新材料;PCB概念;固态电池;铜箔;新能源车;中科院系;无人机;锂电池;期货概念;MSCI中国;比亚迪概念;特斯拉;核电;覆铜板;中盘
600111,北方稀土,sh.600111,国资改革;新材料;增持回购;小金属;稀缺资源;MSCI中国;预盈预增;基金重仓;大盘;稀土永磁
600113,浙江东日,sh.600113,国资改革;年度强势;中俄贸易概念;社区团购;冷链物流;房地产;浙江国资;中盘;农村电商;长三角一体化;预制菜
600114,东睦股份,sh.600114,智能穿戴;养老金概念;新材料;燃料电池;小米概念;智能手表;机械行业;虚拟现实;3D打印;折叠屏;苹果产业链;人形机器人;铰链;消费电子;智能手机;特斯拉;华为概念;中盘;机器人概念
600115,中国东航,sh.600115,低价;通用航空;沪自贸区;民用航空;京津冀;跨境电商;H股;中特估;央企改革;证金汇金;3D打印;雄安新区;MSCI中国;大飞机;大盘;交通运输
600116,三峡水利,sh.600116,光伏玻璃;电力行业;虚拟电厂;换电概念;绿色电力;小金属;节能环保;水利建设;央企改革;储能;水电概念;中盘
600117,西宁特钢,sh.600117,钢铁行业;低价;商业航天（航天航空）;铁路基建;航天军工;西部开发;特种钢
600118,中国卫星,sh.600118,北斗导航;年度强势;飞机制造;商业航天（航天航空）;航天军工;中字头;航天科技集团;空间站;低空经济;短报文概念;航母产业;无人机;卫星互联网;MSCI中国;卫星导航;芯片概念;一带一路;地理信息;军民融合;基金重仓;大飞机;大盘
600119,长江投资,sh.600119,国资改革;自由贸易港;低价;沪自贸区;统一大市场;快递概念;上海国资;跨境电商;电子商务;有色铜;交通运输;智慧物流;长三角一体化
600120,浙江东方,sh.600120,中芯国际概念;融资租赁;信托概念;低价;AMC（化债概念）;量子技术;券商相关;证金汇金;创投;期货概念;物资外贸;军民融合;浙江国资;基金重仓;中盘
600121,郑州煤电,sh.600121,国资改革;煤炭行业;低价;稀缺资源;基金重仓;动力煤
600123,兰花科创,sh.600123,破净股;煤炭行业;新材料;长期破净;稀缺资源;甲醇概念;煤化工;基金重仓;中盘;动力煤
600125,铁龙物流,sh.600125,养老金概念;低价;统一大市场;铁路基建;低市盈率;快递概念;中俄贸易概念;央企改革;冷链物流;碳中和;一带一路;基金重仓;交通运输;智慧物流;中欧班列
600126,杭钢股份,sh.600126,国资改革;钢铁行业;IDC概念（数据中心）;节能环保;特种钢;汽车拆解;DeepSeek概念;集成电路;云计算;国资云;污水处理;阿里概念;数字经济;浙江国资;东数西算;中盘;长三角一体化
600127,金健米业,sh.600127,国资改革;新零售;社区团购;电子商务;休闲食品;国产乳业;农林牧渔;乡村振兴;湖南国资;预制菜
600128,苏豪弘业,sh.600128,国资改革;NFT概念;RCEP概念;增持回购;跨境电商;知识产权;创投;期货概念;电子商务;物资外贸;化肥;黄金股;江苏国资
600129,太极集团,sh.600129,国资改革;互联医疗;抗癌药物;西部开发;土地流转;百度概念;养老产业;医疗美容;央企改革;维生素;生物制药;眼科概念;中药;并购重组;阿里概念;预盈预增;创新药;医药电商;基金重仓;华为概念
600131,国网信通,sh.600131,能源互联;ERP概念;数字孪生;电力物联网;区块链;电力行业;算力概念;虚拟电厂;智能电网;国产软件;华为鸿蒙;EDA概念;短报文概念;央企改革;储能;云计算;5G;水电概念;东数西算;华为概念;中盘
600132,重庆啤酒,sh.600132,高派息;啤酒;MSCI中国;预盈预增;基金重仓;中盘
600133,东湖高新,sh.600133,国资改革;太阳能（光伏）;湖北自贸区;参股新三板;PM2.5;节能环保;BIPV概念;半导体;固废处理;DeepSeek概念;智慧城市;创投;园区开发;雄安新区;REITs概念;污水处理;数字经济;房地产;基金重仓;湖北国资
600135,乐凯胶片,sh.600135,太阳能（光伏）;光伏玻璃;化工行业;航天军工;京津冀;航天科技集团;央企改革;锂电池;雄安新区;医疗器械
600137,浪莎股份,sh.600137,小红书概念;服装鞋类;电子商务;基金重仓
600138,中青旅,sh.600138,特色小镇;网络游戏;新零售;酒店旅游;百度概念;中字头;彩票;户外露营;央企改革;DeepSeek概念;旅游酒店;冰雪产业;金融科技;在线旅游;一带一路;基金重仓;体育产业;环球影城
600141,兴发集团,sh.600141,中芯国际概念;电子化学品;生物农药;化工行业;存储概念;氟化工;增持回购;固态电池;有机硅;氢能源;稀缺资源;锂电池;MSCI中国;气凝胶;分拆概念;芯片概念;化肥;中盘;乡村振兴;湖北国资;草甘膦;磷化工;大基金概念
600143,金发科技,sh.600143,垃圾分类;LCP概念;新材料;商业航天（航天航空）;固态电池;碳纤维;新能源车;合成生物;生物制造;无人机;氢能源;储能;创投;锂电池;5G;人形机器人;MSCI中国;可降解;医疗器械;PEEK概念;特斯拉;中盘;塑料制品;机器人概念
600148,长春一东,sh.600148,航天军工;中俄贸易概念;汽车零部件;新能源车;央企改革;汽车制造;无人机;东北振兴;一带一路
600149,廊坊发展,sh.600149,国资改革;土地流转;京津冀;机械行业;雄安新区;昨日涨停
600150,中国船舶,sh.600150,国资改革;船舶制造;海上风电;航天军工;海工装备;中字头;风能;中特估;航母产业;央企改革;DeepSeek概念;并购重组;一带一路;预盈预增;海洋经济;军民融合;基金重仓;大盘
600151,航天机电,sh.600151,太阳能（光伏）;光伏玻璃;航天军工;汽车零部件;航天科技集团;新能源车;央企改革;汽车热管理;电子器件;多晶硅;汽车电子;军民融合;中盘
600152,维科技术,sh.600152,换电概念;无人机;电子烟;华为汽车;储能;锂电池;纺织行业;钠电池;QFII持股;智能音箱;华为概念;无线耳机;机器人概念
600153,建发股份,sh.600153,国资改革;福建国资;养老金概念;破净股;快递概念;福建自贸区;新型城镇化;长期破净;DeepSeek概念;物资外贸;社保重仓;分拆概念;一带一路;小米汽车概念;基金重仓;有色铜;中盘;白酒
600155,华创云信,sh.600155,破净股;化工行业;低价;京津冀;券商相关;长期破净;互联金融;雄安新区;预盈预增;数字经济;中盘
600156,华升股份,sh.600156,国资改革;算力概念;新材料;跨境电商;券商相关;小红书概念;出海概念;并购重组;纺织行业;消费电子;电子商务;医疗器械;湖南国资
600157,永泰能源,sh.600157,物联网;太阳能（光伏）;光伏玻璃;破净股;煤炭行业;低价;超超临界发电;油气存储;增持回购;生物质能;页岩气;长期破净;钒电池;氢能源;储能;油气勘探;MSCI中国;煤化工;核电;基金重仓;中盘
600158,中体产业,sh.600158,国资改革;特色小镇;NFT概念;京津冀;中字头;彩票;足球概念;世界杯;职业教育;冰雪产业;数字经济;体育产业
600159,大龙地产,sh.600159,国资改革;低价;北京国资;京津冀;雄安新区;房地产
600160,巨化股份,sh.600160,国资改革;中芯国际概念;电子化学品;化工行业;氟化工;燃料电池;半导体;集成电路;甲醇概念;锂电池;MSCI中国;芯片概念;液冷概念;预盈预增;浙江国资;基金重仓;大盘;长三角一体化
600161,天坛生物,sh.600161,国资改革;血液制品;生物医药;肝炎治疗;禽流感药物;央企改革;生物制药;基金重仓;中盘
600162,香江控股,sh.600162,大数据;破净股;低价;京津冀;养老产业;民营医院;云计算;房地产;粤港澳
600163,中闽能源,sh.600163,国资改革;福建国资;太阳能（光伏）;充电桩;光伏玻璃;低价;海上风电;AMC（化债概念）;债转股;造纸行业;绿色电力;生物质能;抽水蓄能;风能;碳中和;基金重仓;中盘
600166,福田汽车,sh.600166,整车;宁德时代概念;大数据;车联网（车路云）;低价;电动物流车;换电概念;智能交通;航天军工;工业互联网;北京国资;百度概念;燃料电池;固态电池;新能源车;汽车制造;电池管理;氢能源;华为汽车;DeepSeek概念;智慧城市;汽车金融;冷链物流;预盈预增;智能汽车;无人驾驶;华为概念;中盘
600167,联美控股,sh.600167,节能环保;人脸识别;氢能源;供水供气;数字能源;MSCI中国;分拆概念;华为概念;中盘;热泵概念
600168,武汉控股,sh.600168,国资改革;破净股;低价;湖北自贸区;绿色电力;节能环保;海绵城市;新型城镇化;固废处理;供水供气;污水处理;湖北国资
600170,上海建工,sh.600170,国资改革;破净股;低价;上海国资;低空经济;节能环保;新型城镇化;券商相关;证金汇金;DeepSeek概念;建筑建材;碳中和;土壤修复;雄安新区;MSCI中国;一带一路;核电;黄金股;基金重仓;中盘;长三角一体化;机器人概念
600171,上海贝岭,sh.600171,MCU概念;物联网;电力物联网;充电桩;智能电网;存储概念;参股新三板;模拟芯片;EDA概念;央企改革;生物识别;半导体;集成电路;电子器件;IGBT概念;汽车芯片;芯片概念;汽车电子;第三代半导体;LED;SOC芯片;基金重仓;华为概念;中盘;无线耳机;长三角一体化
600172,黄河旋风,sh.600172,国资改革;培育钻石;新材料;工业互联网;增持回购;其它行业;透明工厂;页岩气;半导体;机械;油气勘探;中盘;金刚石
600173,卧龙新能,sh.600173,网络游戏;海上风电;风能;IP概念（谷子经济）;氢能源;储能;并购重组;QFII持股;手游;房地产;有色铜;机器人概念;稀土永磁
600176,中国巨石,sh.600176,国资改革;光伏玻璃;新材料;海上风电;PCB概念;增持回购;工业4.0;中字头;风能;中特估;央企改革;中国建材集团;玻璃行业;MSCI中国;社保重仓;一带一路;电子布;PEEK概念;基金重仓;大盘;长三角一体化
600177,雅戈尔,sh.600177,新零售;破净股;低市盈率;增持回购;长期破净;服装鞋类;证金汇金;工业大麻;互联金融;C2M概念;金融科技;基金重仓;中盘
600178,东安动力,sh.600178,长安汽车概念;航天军工;增持回购;汽车零部件;低空经济;节能环保;新能源车;理想汽车概念;央企改革;汽车制造;东北振兴;黑龙江自贸区;预盈预增;华为概念
